,Ajoie,Bern,Biel,Bouveret,Bulle,Carouge,Châtel St Denis,Crans-Montana,Delémont,Ecublens,Fribourg,Gd Saconnex (GE),Genève Eaux Vives,Genève,Grindenwald,Gstaad,La Chaux de Fonds,Langnau,Lau,Lausanne,Le Locle,Les Diablerets,Meyrin,Monthey,Montreux,Morges,Moutier,Mézières,Neuchâtel,Nyon,Parlement Berne,Porrentruy,Port Valais,Servette,Servion,Sierre,Sion,St Maurice,Sâles  (FR),Thyon 2000,Tigers,Torgon,Vallée Joux,Vevey,Viège,Yverdon,Zinal,Zürich
Fribourg,143.332,34.811,71.594,76.732,32.285,151.447,48.397,156.709,119.589,85.787,0.0,137.146,142.321,140.768,109.085,74.035,61.401,67.78,170.372,76.312,68.418,97.359,141.254,83.718,61.437,90.384,105.247,54.687,42.072,118.837,31.448,141.594,76.681,141.711,53.378,142.778,127.759,90.013,37.468,149.989,170.372,88.264,97.605,57.923,171.08,53.229,168.151,153.391
Gd Saconnex (GE),199.837,155.817,151.827,105.377,112.791,17.277,92.088,185.355,199.538,58.485,136.79,0.0,6.614,4.463,230.091,147.08,137.885,188.786,291.378,60.092,144.902,126.005,4.885,112.364,90.082,47.672,185.196,76.598,119.78,23.006,153.787,198.099,105.327,3.867,77.216,171.423,156.405,118.658,106.877,178.634,291.378,116.91,58.542,86.563,199.726,84.23,196.796,274.397
Genève Eaux Vives,204.72,160.7,156.71,110.26,117.674,5.123,96.971,190.238,204.421,63.367,141.672,6.191,0.0,3.884,234.974,151.963,142.767,193.668,296.261,64.975,149.784,130.888,8.568,117.247,94.965,52.555,190.078,81.48,124.663,27.888,158.67,202.982,110.209,4.06,82.098,176.306,161.287,123.541,111.759,183.517,296.261,121.792,63.425,91.446,204.609,89.112,201.679,279.279
Genève,203.067,159.047,155.057,108.607,116.021,3.002,95.318,188.585,202.768,61.714,140.019,4.154,3.278,0.0,233.321,150.31,141.114,192.015,294.608,63.322,148.131,129.235,6.817,115.594,93.312,50.902,188.425,79.827,123.01,26.235,157.017,201.329,108.556,1.701,80.445,174.653,159.634,121.888,110.106,181.864,294.608,120.139,61.772,89.793,202.956,87.459,200.026,277.626
Grindenwald,183.948,74.624,112.21,181.024,136.578,244.702,152.69,119.581,160.205,179.042,109.885,230.401,235.576,234.023,0.0,88.227,143.859,80.157,69.18,183.722,150.876,109.277,234.51,188.011,165.729,183.639,145.863,158.462,124.529,212.093,76.067,182.21,180.974,234.966,157.671,106.885,124.81,194.305,141.761,141.832,69.18,192.557,195.084,162.215,100.772,150.708,128.999,136.728
Gstaad,195.806,86.482,124.068,56.116,42.142,161.568,66.111,126.187,172.063,95.908,73.225,147.268,152.443,150.889,87.823,0.0,133.164,92.016,120.563,86.434,140.181,21.126,151.376,53.196,57.625,100.505,157.721,72.401,113.834,128.959,87.925,194.068,56.066,151.833,71.092,112.255,97.237,59.49,50.634,119.466,120.563,57.338,133.517,66.558,140.558,118.959,137.628,205.865
La Chaux de Fonds,61.974,71.998,51.667,130.439,88.589,151.165,117.15,210.417,56.864,85.506,61.615,136.865,142.04,140.486,146.272,130.338,0.0,104.967,172.728,90.185,8.605,151.067,140.973,137.426,115.144,90.102,52.429,101.66,20.058,118.556,69.968,60.236,130.389,141.43,102.278,196.485,181.467,143.72,93.772,203.696,172.728,141.972,101.548,111.625,224.788,59.702,221.858,155.746
Langnau,141.926,32.602,70.188,139.002,94.556,202.68,110.668,127.193,118.183,137.02,67.863,188.379,193.554,192.001,80.332,92.397,101.837,0.0,89.529,141.7,108.854,113.446,192.488,145.989,123.707,141.617,103.841,116.44,82.507,170.071,34.045,140.188,138.952,192.944,115.649,114.497,190.03,152.283,99.739,212.26,89.529,150.535,153.063,120.193,108.384,108.686,136.611,105.618
Lau,160.256,139.601,135.219,242.045,197.599,305.723,213.711,151.446,136.513,240.063,170.906,291.422,296.597,295.044,68.786,120.092,173.904,85.868,0.0,244.743,194.991,141.142,295.531,249.032,226.75,244.66,123.445,219.482,168.644,273.114,143.37,158.518,241.995,295.987,218.692,138.75,156.675,255.326,202.782,173.697,0.0,253.578,256.105,223.236,132.637,211.729,160.864,81.738
Lausanne,153.124,109.104,105.114,44.945,52.36,74.607,31.657,124.923,152.825,5.712,76.358,60.306,65.481,63.928,183.378,86.649,91.172,142.073,244.665,0.0,98.189,65.573,64.415,51.932,29.65,13.544,138.483,16.103,73.067,41.998,102.879,151.386,44.895,64.871,15.921,110.991,95.973,58.227,46.445,118.203,244.665,56.478,54.589,18.442,139.294,37.517,136.365,227.684
Le Locle,71.061,78.647,58.316,137.088,95.238,157.814,123.799,217.066,65.951,92.155,68.264,143.514,148.689,147.135,152.921,136.987,9.108,111.616,181.815,96.834,0.0,157.716,147.622,144.075,121.793,96.751,61.516,108.309,26.707,125.205,76.617,69.323,137.038,148.079,108.927,203.134,188.116,150.369,100.421,210.345,181.815,148.621,81.804,118.274,231.437,66.351,228.507,164.833
Les Diablerets,234.674,126.153,162.936,35.01,72.271,140.463,51.568,105.081,210.931,74.803,96.269,126.162,131.337,129.784,108.918,21.095,151.508,113.111,141.658,65.328,158.525,0.0,130.27,32.09,36.519,79.4,196.589,63.109,133.404,107.853,122.789,232.936,34.96,130.727,60.318,91.149,76.131,38.385,66.356,98.361,141.658,36.232,112.412,45.453,119.452,97.853,116.523,244.732
Meyrin,204.587,160.567,156.577,110.127,117.541,15.129,96.838,190.105,204.288,63.234,141.539,7.319,8.98,7.442,234.841,151.83,142.634,193.535,296.128,64.842,149.651,130.755,0.0,117.114,94.832,52.422,189.946,81.347,124.53,27.755,158.537,202.849,110.076,5.185,81.965,176.173,161.154,123.408,111.626,183.384,296.128,121.659,63.292,91.313,204.476,88.979,201.546,279.146
Monthey,221.861,113.34,150.123,17.896,59.458,127.65,38.755,77.198,198.118,61.99,83.456,113.349,118.524,116.971,187.614,53.225,138.696,146.309,248.901,52.515,145.713,32.15,117.458,0.0,23.706,66.587,183.776,50.296,120.591,95.04,109.977,220.123,17.846,117.914,47.505,63.266,48.247,7.205,53.543,70.477,248.901,18.608,99.599,32.64,91.569,85.04,88.639,231.92
